Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-09-11,35.26,35.73,35.80,35.24,172889,620297339.00,1.57,0.28,0.10,1.19
2024-09-12,35.85,35.42,36.34,35.40,183771,665203753.00,2.63,-0.87,-0.31,1.26
2024-09-13,35.45,35.12,35.82,34.99,149741,535327969.00,2.34,-0.85,-0.30,1.03
2024-09-18,35.12,35.23,35.45,34.69,146116,517591785.00,2.16,0.31,0.11,1.00
2024-09-19,35.46,35.96,36.29,35.01,238216,861006824.00,3.63,2.07,0.73,1.63
2024-09-20,35.96,36.25,36.42,35.79,228889,835034552.00,1.75,0.81,0.29,1.57
2024-09-23,36.02,36.02,36.96,35.96,224221,825736777.00,2.76,-0.63,-0.23,1.54
2024-09-24,36.26,37.89,37.97,35.56,474391,1773982232.00,6.69,5.19,1.87,3.25
2024-09-25,38.26,37.96,39.40,37.86,516989,2015976926.00,4.06,0.18,0.07,3.54
2024-09-26,37.91,39.28,39.32,37.69,398354,1548841508.00,4.29,3.48,1.32,2.73
2024-09-27,39.94,43.04,43.21,39.53,541079,2240294040.00,9.37,9.57,3.76,3.71
2024-09-30,45.76,47.38,47.38,45.08,1048027,4921071023.00,5.34,10.08,4.34,7.19
2024-10-08,52.15,52.15,52.15,49.76,727520,3797107068.00,5.04,10.07,4.77,4.99
2024-10-09,53.66,55.61,57.40,52.56,2112514,11826270862.00,9.28,6.63,3.46,14.48
2024-10-10,55.66,52.17,56.16,50.06,1333839,7126138793.00,10.97,-6.19,-3.44,9.14
2024-10-11,51.11,50.67,53.21,50.18,920692,4772505183.00,5.81,-2.88,-1.50,6.31
2024-10-14,50.92,51.66,51.75,48.41,958240,4844125337.00,6.59,1.95,0.99,6.57
2024-10-15,51.66,50.85,53.76,50.81,918934,4824774508.00,5.71,-1.57,-0.81,6.30
2024-10-16,48.65,48.67,49.92,48.32,799001,3943950340.00,3.15,-4.29,-2.18,5.48
2024-10-17,50.36,51.68,53.51,49.92,1434236,7504093705.00,7.38,6.18,3.01,9.83
2024-10-18,51.16,54.88,56.54,51.01,1497897,8104750577.00,10.70,6.19,3.20,10.27
2024-10-21,56.16,56.03,58.77,55.82,1586226,9128793024.00,5.38,2.10,1.15,10.87
2024-10-22,54.66,54.88,55.76,54.08,891361,4920639751.00,3.00,-2.05,-1.15,6.11
2024-10-23,54.91,54.12,55.86,53.79,827381,4575017179.00,3.77,-1.38,-0.76,5.67
2024-10-24,53.63,54.26,54.95,53.41,557870,3037762925.00,2.85,0.26,0.14,3.82
2024-10-25,54.66,54.08,54.78,53.39,574602,3121938059.00,2.56,-0.33,-0.18,3.94
2024-10-28,54.08,53.89,54.44,53.43,477718,2587645980.00,1.87,-0.35,-0.19,3.28
2024-10-29,53.98,59.31,59.31,53.75,1949009,11389113980.00,10.32,10.06,5.42,13.36
2024-10-30,59.33,58.13,59.33,56.54,1531573,8930269854.00,4.70,-1.99,-1.18,10.50
2024-10-31,58.14,60.86,62.81,57.02,1714891,10412661226.00,9.96,4.70,2.73,11.76
2024-11-01,59.68,60.11,65.43,59.66,1565263,9776282838.00,9.48,-1.23,-0.75,10.73
2024-11-04,60.30,66.16,66.16,58.73,1413367,9010860815.00,12.36,10.06,6.05,9.69
2024-11-05,67.67,71.39,72.81,66.26,1893259,13330698893.00,9.90,7.91,5.23,12.98
2024-11-06,71.55,71.77,74.56,68.62,1680654,11954870599.00,8.32,0.53,0.38,11.52
2024-11-07,70.16,75.26,76.96,68.76,1419275,10273001044.00,11.43,4.86,3.49,9.73
2024-11-08,75.67,79.10,82.16,75.67,1424103,11353726058.00,8.62,5.10,3.84,9.76
2024-11-11,79.51,87.04,87.04,79.51,1654755,14003193653.00,9.52,10.04,7.94,11.34
2024-11-12,89.59,83.56,89.59,80.67,1867924,15816684123.00,10.25,-4.00,-3.48,12.81
2024-11-13,81.57,82.36,85.25,81.24,1108986,9246765149.00,4.80,-1.44,-1.20,7.60
2024-11-14,80.86,76.52,80.86,76.21,1419799,11138243173.00,5.65,-7.09,-5.84,9.73
2024-11-15,75.66,72.19,76.56,71.64,1515401,11220648890.00,6.43,-5.66,-4.33,10.39
2024-11-18,72.19,71.01,73.59,69.86,1096341,7878376965.00,5.17,-1.63,-1.18,7.52
2024-11-19,70.56,76.85,78.08,69.51,1460370,10733249107.00,12.07,8.22,5.84,10.01
2024-11-20,75.54,77.36,80.55,74.56,1325650,10271353857.00,7.79,0.66,0.51,9.09
2024-11-21,76.45,78.59,80.16,75.94,1052848,8304546260.00,5.46,1.59,1.23,7.22
2024-11-22,78.57,74.51,79.54,74.24,1000200,7736360374.00,6.74,-5.19,-4.08,6.86
2024-11-25,74.26,78.73,79.25,72.52,1154215,8775794527.00,9.03,5.66,4.22,7.91
2024-11-26,77.94,75.70,78.70,75.68,769733,5969438148.00,3.84,-3.85,-3.03,5.28
2024-11-27,74.22,78.14,78.64,73.36,960959,7421282403.00,6.97,3.22,2.44,6.59
2024-11-28,78.14,81.40,85.66,77.67,1511523,12423339858.00,10.23,4.17,3.26,10.36
2024-11-29,79.86,84.46,85.61,79.77,1232981,10278316307.00,7.17,3.76,3.06,8.45
2024-12-02,84.46,83.46,86.50,82.33,1129604,9507658527.00,4.94,-1.18,-1.00,7.74
2024-12-03,82.86,77.51,84.46,75.19,1518061,12235047123.00,11.11,-7.13,-5.95,10.41
2024-12-04,76.96,77.66,78.76,76.06,953055,7405001384.00,3.48,0.19,0.15,6.53
2024-12-05,76.86,75.61,77.16,74.86,820594,6250770701.00,2.96,-2.64,-2.05,5.63
2024-12-06,75.72,76.65,78.23,75.40,767835,5924527473.00,3.74,1.38,1.04,5.26
2024-12-09,76.66,74.65,76.80,74.02,631128,4759141336.00,3.63,-2.61,-2.00,4.33
2024-12-10,78.47,74.60,78.71,74.26,824031,6302765111.00,5.96,-0.07,-0.05,5.65
2024-12-11,73.77,73.38,74.46,72.56,716034,5267619276.00,2.55,-1.64,-1.22,4.91
2024-12-12,73.61,74.45,75.45,72.16,717016,5312110987.00,4.48,1.46,1.07,4.92
2024-12-13,73.56,71.59,73.92,71.45,612949,4468526377.00,3.32,-3.84,-2.86,4.20
2024-12-16,71.58,71.05,72.76,70.77,449606,3231698934.00,2.78,-0.75,-0.54,3.08
2024-12-17,71.22,71.11,72.38,70.80,420176,3016792661.00,2.22,0.08,0.06,2.88
2024-12-18,71.38,71.55,72.12,70.79,398513,2862766875.00,1.87,0.62,0.44,2.73
2024-12-19,70.67,75.92,76.84,70.46,1133662,8441625928.00,8.92,6.11,4.37,7.77
2024-12-20,74.86,75.20,76.96,74.26,780603,5909274024.00,3.56,-0.95,-0.72,5.35
2024-12-23,75.66,76.44,78.16,75.65,909596,7029751424.00,3.34,1.65,1.24,6.24
2024-12-24,76.66,76.64,77.62,75.26,617028,4734749570.00,3.09,0.26,0.20,4.23
2024-12-25,77.51,78.46,80.40,77.34,1045983,8302291922.00,3.99,2.37,1.82,7.17
2024-12-26,77.46,78.67,79.65,76.85,821767,6457465396.00,3.57,0.27,0.21,5.63
2024-12-27,78.68,74.50,79.05,74.25,1051070,8069696477.00,6.10,-5.30,-4.17,7.21
2024-12-30,74.50,73.70,75.59,73.46,631856,4715865635.00,2.86,-1.07,-0.80,4.33
2024-12-31,73.83,71.98,73.86,71.79,519071,3785160384.00,2.81,-2.33,-1.72,3.56
2025-01-02,71.86,67.61,71.86,66.67,898995,6216552575.00,7.21,-6.07,-4.37,6.16
2025-01-03,67.08,64.48,67.45,64.44,683665,4506798041.00,4.45,-4.63,-3.13,4.69
2025-01-06,63.83,64.17,65.64,63.55,445007,2879680685.00,3.24,-0.48,-0.31,3.05
2025-01-07,64.26,66.21,66.21,64.04,582798,3828487249.00,3.38,3.18,2.04,4.00
2025-01-08,65.56,65.10,65.83,63.02,601194,3903456659.00,4.24,-1.68,-1.11,4.12
2025-01-09,64.62,65.40,66.45,64.56,457425,3020959952.00,2.90,0.46,0.30,3.14
2025-01-10,62.36,61.32,63.75,61.31,913405,5725236035.00,3.73,-6.24,-4.08,6.26
2025-01-13,59.97,60.55,61.30,59.84,427070,2603674928.00,2.38,-1.26,-0.77,2.93
2025-01-14,61.53,64.00,64.10,60.67,726678,4587460408.00,5.66,5.70,3.45,4.98
2025-01-15,64.00,64.15,66.10,63.33,665672,4312777488.00,4.33,0.23,0.15,4.56
2025-01-16,64.15,63.64,65.65,62.89,509714,3284404916.00,4.30,-0.80,-0.51,3.49
